period,respondent,respondent-name,type,type-name,Demand (MW),value-units,Temperature (°C),Humidity (%),Wind Speed (m/s),Solar Radiation (W/m²),Solar Generation (MWh),Wind Generation (MWh),hour,dayofweek,month,is_weekend,is_holiday,load_lag_1h,load_lag_24h,load_lag_168h,load_roll_mean_24h,cooling_degree,heating_degree
2021-01-07 19:00:00-05:00,ISNE,ISO New England,D,Demand,16763.0,megawatthours,-0.2,56,17.3,0.0,0,872,19,3,1,0,0,16889.0,16806.0,15907.0,14156.666666666666,0.0,18.2
2021-01-07 20:00:00-05:00,ISNE,ISO New England,D,Demand,16259.0,megawatthours,-1.0,60,17.8,0.0,0,891,20,3,1,0,0,16763.0,16246.0,15211.0,14157.208333333334,0.0,19.0
2021-01-07 21:00:00-05:00,ISNE,ISO New England,D,Demand,15591.0,megawatthours,-1.9,63,16.8,0.0,0,862,21,3,1,0,0,16259.0,15519.0,14544.0,14160.208333333334,0.0,19.9
2021-01-07 22:00:00-05:00,ISNE,ISO New England,D,Demand,14736.0,megawatthours,-2.6,66,16.8,0.0,0,874,22,3,1,0,0,15591.0,14632.0,13928.0,14164.541666666666,0.0,20.6
2021-01-07 23:00:00-05:00,ISNE,ISO New England,D,Demand,13854.0,megawatthours,-2.9,66,16.9,0.0,0,876,23,3,1,0,0,14736.0,13583.0,13237.0,14175.833333333334,0.0,20.9
2021-01-08 00:00:00-05:00,ISNE,ISO New England,D,Demand,13273.0,megawatthours,-3.2,68,16.9,0.0,0,870,0,4,1,0,0,13854.0,12793.0,12571.0,14195.833333333334,0.0,21.2
2021-01-08 01:00:00-05:00,ISNE,ISO New England,D,Demand,12982.0,megawatthours,-3.4,70,16.1,0.0,0,888,1,4,1,0,0,13273.0,12243.0,12480.0,14226.625,0.0,21.4
2021-01-08 02:00:00-05:00,ISNE,ISO New England,D,Demand,12670.0,megawatthours,-3.7,72,15.1,0.0,0,873,2,4,1,0,0,12982.0,12125.0,12373.0,14249.333333333334,0.0,21.7
2021-01-08 03:00:00-05:00,ISNE,ISO New England,D,Demand,12516.0,megawatthours,-3.8,73,13.7,0.0,0,866,3,4,1,0,0,12670.0,11979.0,12148.0,14271.708333333334,0.0,21.8
2021-01-08 04:00:00-05:00,ISNE,ISO New England,D,Demand,12565.0,megawatthours,-3.8,73,13.2,0.0,0,854,4,4,1,0,0,12516.0,12008.0,12271.0,14294.916666666666,0.0,21.8
2021-01-08 05:00:00-05:00,ISNE,ISO New England,D,Demand,12678.0,megawatthours,-3.8,73,13.5,0.0,0,846,5,4,1,0,0,12565.0,12329.0,12373.0,14309.458333333334,0.0,21.8
2021-01-08 06:00:00-05:00,ISNE,ISO New England,D,Demand,13443.0,megawatthours,-3.9,73,14.1,0.0,0,845,6,4,1,0,0,12678.0,12655.0,12212.0,14342.291666666666,0.0,21.9
2021-01-08 07:00:00-05:00,ISNE,ISO New England,D,Demand,14391.0,megawatthours,-3.7,73,14.8,0.0,0,827,7,4,1,0,0,13443.0,13916.0,12363.0,14362.083333333334,0.0,21.7
2021-01-08 08:00:00-05:00,ISNE,ISO New England,D,Demand,15283.0,megawatthours,-3.4,70,15.3,25.0,4,810,8,4,1,0,0,14391.0,15000.0,12562.0,14373.875,0.0,21.4
2021-01-08 09:00:00-05:00,ISNE,ISO New England,D,Demand,15365.0,megawatthours,-2.2,61,17.3,154.0,51,809,9,4,1,0,0,15283.0,15114.0,12569.0,14384.333333333334,0.0,20.2
2021-01-08 10:00:00-05:00,ISNE,ISO New England,D,Demand,14640.0,megawatthours,-0.6,54,15.0,291.0,131,813,10,4,1,0,0,15365.0,14522.0,12561.0,14389.25,0.0,18.6
2021-01-08 11:00:00-05:00,ISNE,ISO New England,D,Demand,13919.0,megawatthours,0.9,50,14.9,389.0,187,817,11,4,1,0,0,14640.0,14045.0,12561.0,14384.0,0.0,17.1
2021-01-08 12:00:00-05:00,ISNE,ISO New England,D,Demand,13485.0,megawatthours,2.3,48,12.3,434.0,199,763,12,4,1,0,0,13919.0,13910.0,12624.0,14366.291666666666,0.0,15.7
2021-01-08 13:00:00-05:00,ISNE,ISO New England,D,Demand,13537.0,megawatthours,3.3,46,11.7,427.0,195,741,13,4,1,0,0,13485.0,13970.0,12767.0,14348.25,0.0,14.7
2021-01-08 14:00:00-05:00,ISNE,ISO New England,D,Demand,13719.0,megawatthours,3.8,43,14.3,364.0,183,785,14,4,1,0,0,13537.0,13975.0,13380.0,14337.583333333334,0.0,14.2
2021-01-08 15:00:00-05:00,ISNE,ISO New England,D,Demand,14136.0,megawatthours,3.3,46,12.1,253.0,132,766,15,4,1,0,0,13719.0,14597.0,13732.0,14318.375,0.0,14.7
2021-01-08 16:00:00-05:00,ISNE,ISO New England,D,Demand,14738.0,megawatthours,1.4,54,9.2,111.0,42,772,16,4,1,0,0,14136.0,15094.0,14336.0,14303.541666666666,0.0,16.6
2021-01-08 17:00:00-05:00,ISNE,ISO New England,D,Demand,15745.0,megawatthours,-0.4,54,14.0,7.0,3,793,17,4,1,0,0,14738.0,15853.0,15229.0,14299.041666666666,0.0,18.4
2021-01-08 18:00:00-05:00,ISNE,ISO New England,D,Demand,16647.0,megawatthours,-1.2,51,18.9,0.0,0,800,18,4,1,0,0,15745.0,16889.0,15885.0,14288.958333333334,0.0,19.2
2021-01-08 19:00:00-05:00,ISNE,ISO New England,D,Demand,16464.0,megawatthours,-0.7,50,18.2,0.0,0,805,19,4,1,0,0,16647.0,16763.0,15596.0,14276.5,0.0,18.7
2021-01-08 20:00:00-05:00,ISNE,ISO New England,D,Demand,15974.0,megawatthours,-1.9,56,16.6,0.0,0,789,20,4,1,0,0,16464.0,16259.0,15053.0,14264.625,0.0,19.9
