period,respondent,respondent-name,type,type-name,Demand (MW),value-units,hour,month,dayofweek,is_weekend,year,Temperature (°C),Humidity (%),Wind Speed (m/s),Solar Radiation (W/m²),Solar Generation (MWh),Wind Generation (MWh),is_holiday
2020-12-31 19:00:00-05:00,ISNE,ISO New England,D,Demand,15907.0,megawatthours,19,12,3,0,2021,2.4,58,10.2,0.0,1,935,0
2020-12-31 20:00:00-05:00,ISNE,ISO New England,D,Demand,15211.0,megawatthours,20,12,3,0,2021,2.1,58,11.6,0.0,1,927,0
2020-12-31 21:00:00-05:00,ISNE,ISO New England,D,Demand,14544.0,megawatthours,21,12,3,0,2021,0.7,62,10.6,0.0,1,925,0
2020-12-31 22:00:00-05:00,ISNE,ISO New England,D,Demand,13928.0,megawatthours,22,12,3,0,2021,-0.6,67,10.1,0.0,1,907,0
2020-12-31 23:00:00-05:00,ISNE,ISO New England,D,Demand,13237.0,megawatthours,23,12,3,0,2021,-1.3,71,10.1,0.0,0,901,0
2021-01-01 00:00:00-05:00,ISNE,ISO New England,D,Demand,12571.0,megawatthours,0,1,4,0,2021,-1.9,74,9.5,0.0,0,826,1
2021-01-01 01:00:00-05:00,ISNE,ISO New England,D,Demand,12480.0,megawatthours,1,1,4,0,2021,-2.4,77,9.3,0.0,0,784,1
2021-01-01 02:00:00-05:00,ISNE,ISO New England,D,Demand,12373.0,megawatthours,2,1,4,0,2021,-2.7,79,8.4,0.0,0,765,1
2021-01-01 03:00:00-05:00,ISNE,ISO New England,D,Demand,12148.0,megawatthours,3,1,4,0,2021,-2.8,79,9.4,0.0,0,740,1
2021-01-01 04:00:00-05:00,ISNE,ISO New England,D,Demand,12271.0,megawatthours,4,1,4,0,2021,-3.1,80,8.3,0.0,0,690,1
2021-01-01 05:00:00-05:00,ISNE,ISO New England,D,Demand,12373.0,megawatthours,5,1,4,0,2021,-3.2,80,9.2,0.0,0,688,1
2021-01-01 06:00:00-05:00,ISNE,ISO New England,D,Demand,12212.0,megawatthours,6,1,4,0,2021,-3.4,80,8.7,0.0,0,624,1
2021-01-01 07:00:00-05:00,ISNE,ISO New England,D,Demand,12363.0,megawatthours,7,1,4,0,2021,-3.1,80,8.8,0.0,0,562,1
2021-01-01 08:00:00-05:00,ISNE,ISO New England,D,Demand,12562.0,megawatthours,8,1,4,0,2021,-2.7,77,9.8,24.0,4,438,1
2021-01-01 09:00:00-05:00,ISNE,ISO New England,D,Demand,12569.0,megawatthours,9,1,4,0,2021,-1.0,66,7.4,150.0,51,369,1
2021-01-01 10:00:00-05:00,ISNE,ISO New England,D,Demand,12561.0,megawatthours,10,1,4,0,2021,0.3,58,3.4,283.0,128,329,1
2021-01-01 11:00:00-05:00,ISNE,ISO New England,D,Demand,12561.0,megawatthours,11,1,4,0,2021,1.4,53,1.6,372.0,186,264,1
2021-01-01 12:00:00-05:00,ISNE,ISO New England,D,Demand,12624.0,megawatthours,12,1,4,0,2021,2.3,51,1.1,412.0,174,218,1
2021-01-01 13:00:00-05:00,ISNE,ISO New England,D,Demand,12767.0,megawatthours,13,1,4,0,2021,2.8,49,3.1,372.0,143,165,1
2021-01-01 14:00:00-05:00,ISNE,ISO New England,D,Demand,13380.0,megawatthours,14,1,4,0,2021,3.0,51,4.0,270.0,99,99,1
